cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,3.0,2.971,10.6186,10.6244,3.868531,3.869053,35.008,35.008,2.4908,6.69504,90.6897,0.3909,1.634,0.698303,4.3727,670.04,2.3292,26.8496,26.8483,10.6183,10.6241,-0.0,0.0058,0.000522,6.23084,1492.69,0.05
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,4.0,3.9619999999999997,10.6863,10.703,3.875089,3.8769730000000004,35.0062,35.0077,2.4932,6.692360000000001,90.6548,0.3924,1.5721,0.7513475000000001,3.95,672.31,2.1306,26.8381,26.8375,10.6858,10.7025,0.0015,0.0167,0.001884,6.22179,1492.95,0.172
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,5.0,4.952,10.7647,10.7681,3.882831,3.8830190000000004,35.0071,35.0027,2.4925,6.678939999999999,90.6246,0.3938,1.5819,0.7377302,3.716,680.53,2.3066,26.8259,26.8243,10.7641,10.7674,-0.0043,0.0034,0.00018899999999999999,6.21127,1493.25,0.184
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,6.0,5.943,10.801,10.8169,3.886537,3.887922,35.0085,35.0068,2.4875,6.680280000000001,90.8222,0.385,1.4984,0.7543219,3.1939,668.44,2.4688,26.821,26.8171,10.8003,10.8162,-0.0016,0.0159,0.001385,6.20637,1493.4,0.19699999999999998
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,7.0,6.933,10.752,10.7413,3.8816029999999997,3.8806059999999998,35.0073,35.0153,2.4822,6.68173,90.799,0.3861,1.4803,0.7807036999999999,2.8164,652.02,2.3425,26.8274,26.8295,10.7512,10.7405,0.0081,-0.0107,-0.000997,6.21301,1493.23,0.209
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,8.0,7.922999999999999,10.6332,10.6439,3.870128,3.8713089999999997,35.0084,35.0141,2.4801,6.66897,90.7535,0.3881,1.5394,0.7648861,2.6105,656.04,2.1845,26.8469,26.8463,10.6322,10.6429,0.0057,0.0107,0.001181,6.22893,1492.82,0.22699999999999998
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,9.0,8.914,10.3167,10.3179,3.839638,3.8398309999999998,35.0111,35.0251,2.4862,6.70838,90.7255,0.3893,1.5964,0.7239876999999999,2.2858,673.16,2.2608,26.8991,26.8995,10.3156,10.3168,0.014,0.0011,0.000193,6.2716400000000005,1491.7,0.249
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,10.0,9.904,10.0417,10.0375,3.8132870000000003,3.812956,35.012,35.0203,2.5059,6.779319999999999,90.3753,0.4048,1.7358,0.7352422,2.1271,679.69,2.2264,26.9444,26.9456,10.0405,10.0363,0.0083,-0.0042,-0.000331,6.3091,1490.71,0.266
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,11.0,10.894,9.6982,9.6931,3.7801400000000003,3.7799160000000005,35.0114,35.0334,2.5142,6.8903300000000005,90.16,0.4143,1.8794,0.7303844,1.8885,681.73,2.2452,26.997,26.9999,9.6969,9.6919,0.022,-0.0051,-0.00022400000000000002,6.35669,1489.47,0.27899999999999997
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,12.0,11.885,9.4783,9.4766,3.759304,3.7593080000000003,35.0132,35.0262,2.5241,6.93917,89.7834,0.4311,2.0588,0.7398296,1.769,673.79,2.1321,27.0327,27.0343,9.477,9.4753,0.013,-0.0017,4e-06,6.38731,1488.67,0.29
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,13.0,12.875,9.1538,9.1527,3.7283980000000003,3.728485,35.0138,35.0294,2.5401,7.02579,89.6097,0.4388,2.2643,0.7517651999999999,1.5998,656.57,2.1185,27.0827,27.0844,9.1524,9.1513,0.0156,-0.0011,8.7e-05,6.43316,1487.48,0.301
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,14.0,13.866,9.043,9.0447,3.718403,3.71858,35.0104,35.0124,2.5675,7.16372,89.5874,0.4398,2.5038,0.7200711999999999,1.3855,655.73,2.2477,27.1037,27.1036,9.0415,9.0432,0.002,0.0017,0.000176,6.44868,1487.09,0.32
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,15.0,14.856,8.9786,8.9784,3.7125809999999997,3.712697,35.0049,35.0087,2.5792,7.2665,89.534,0.4422,2.5839,0.7271295,1.2526,676.25,2.1638,27.1156,27.1168,8.977,8.9768,0.0037,-0.0002,0.00011599999999999999,6.45777,1486.87,0.341
56,20120702,602,61.8287,-33.9433,2012-07-02T06:02:00Z,16.0,15.845999999999998,8.9382,8.9373,3.7089300000000005,3.7089260000000004,35.0056,35.0093,2.5784,7.27659,89.4519,0.4459,2.5441,0.7335433000000001,1.1754,672.27,2.134,27.1229,27.1237,8.9365,8.9356,0.0037,-0.0009,-5e-06,6.46349,1486.74,0.35
