cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,3.0,2.971,10.7752,10.7765,3.8833309999999996,3.883344,35.0059,35.0046,2.4722,6.60743,90.0902,0.4174,0.5513,0.6996804,50.934,930.01,0.0,26.8208,26.8197,10.7749,10.7761,-0.0013,0.0013,1.3000000000000001e-05,6.210030000000001,1493.25,0.051
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,4.0,3.9619999999999997,10.7788,10.7812,3.8837410000000006,3.883895,35.006,35.0055,2.4723,6.60843,90.0713,0.4183,0.5519,0.7227339,44.463,954.28,0.0,26.8203,26.8194,10.7784,10.7807,-0.0005,0.0023,0.000154,6.20955,1493.28,0.126
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,5.0,4.952,10.8137,10.8017,3.887232,3.885933,35.0065,35.0047,2.4727,6.60435,90.056,0.419,0.5591,0.7099409000000001,39.308,961.17,0.0,26.8151,26.8159,10.8131,10.8011,-0.0018,-0.0119,-0.001299,6.20488,1493.42,0.16699999999999998
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,6.0,5.942,10.8294,10.8221,3.888732,3.8878790000000003,35.0062,35.0045,2.4704,6.600960000000001,90.0283,0.4202,0.5472,0.7242996,34.285,967.62,0.0,26.8119,26.812,10.8286,10.8214,-0.0017,-0.0073,-0.0008529999999999999,6.2028099999999995,1493.49,0.198
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,7.0,6.933,10.8493,10.8497,3.8906709999999998,3.8905730000000003,35.0062,35.0042,2.4702,6.589110000000001,90.1877,0.4131,0.5562,0.7379853,30.653000000000002,975.46,0.0,26.8083,26.8072,10.8484,10.8489,-0.002,0.0004,-9.8e-05,6.2001800000000005,1493.58,0.23399999999999999
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,8.0,7.922999999999999,10.843,10.8412,3.890109,3.889821,35.0064,35.0053,2.4704,6.59353,90.195,0.4128,0.5276,0.6988259,27.369,979.81,0.0,26.8094,26.8088,10.8421,10.8402,-0.0012,-0.0018,-0.00028900000000000003,6.20101,1493.57,0.259
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,9.0,8.914,10.8438,10.8442,3.890222,3.890158,35.0065,35.0052,2.4705,6.59887,90.1986,0.4126,0.5579,0.7087645,24.429000000000002,990.55,-3.13e-07,26.8092,26.8083,10.8427,10.8431,-0.0013,0.0004,-6.4e-05,6.2009099999999995,1493.59,0.287
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,10.0,9.904,10.8337,10.8366,3.8892480000000003,3.8894589999999996,35.0062,35.0054,2.4672,6.5907800000000005,90.1815,0.4134,0.6524,0.7655946,22.114,997.22,0.0,26.8106,26.8096,10.8325,10.8354,-0.0008,0.0029,0.00021099999999999998,6.2022699999999995,1493.57,0.309
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,11.0,10.894,10.8415,10.8437,3.890083,3.8902019999999995,35.0064,35.0056,2.4671,6.5880399999999995,90.181,0.4134,0.6719,0.8056699,19.759,1001.5,0.0,26.8096,26.8085,10.8402,10.8423,-0.0008,0.0021,0.00011899999999999999,6.201219999999999,1493.61,0.335
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,12.0,11.885,10.8275,10.8362,3.8888,3.889531,35.0069,35.0059,2.4681,6.59375,90.1893,0.413,0.6643,0.70758,18.285,1012.6,0.0,26.8122,26.8098,10.8261,10.8348,-0.001,0.0087,0.00073,6.203069999999999,1493.58,0.363
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,13.0,12.875,10.4584,10.5147,3.85302,3.858606,35.0089,35.027,2.4586,6.63461,90.1667,0.414,0.7878,0.8080118000000001,16.465,1019.3,0.0,26.8716,26.8635,10.4569,10.5132,0.0181,0.0563,0.005587,6.25286,1492.26,0.389
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,14.0,13.866,9.7165,9.7089,3.782695,3.7819160000000003,35.0196,35.0333,2.4972,6.79435,89.4258,0.4471,1.3446,0.8151548000000001,15.492,1030.4,0.0,26.9999,27.0009,9.7148,9.7073,0.0137,-0.0076,-0.000779,6.35374,1489.59,0.41700000000000004
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,15.0,14.856,8.637,8.6332,3.6804580000000002,3.680325,35.0276,35.0458,2.5204,7.0568800000000005,87.5221,0.5332,1.4951,0.8585849,13.915,1037.2,4.3173e-07,27.1679,27.1704,8.6354,8.6316,0.0182,-0.0038,-0.000133,6.50724,1485.58,0.43799999999999994
88,20120708,1613,61.6852,-33.9595,2012-07-08T16:13:00Z,16.0,15.845999999999998,7.9849,7.98,3.619542,3.61925,35.0244,35.0369,2.5555,7.32448,86.4074,0.5844,1.6287,0.8954726000000001,12.571,1055.3,0.0,27.2684,27.2705,7.9833,7.9784,0.0125,-0.0049,-0.000291,6.60243,1483.13,0.45799999999999996
