cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,3.0,2.971,11.6879,11.6877,3.97149,3.971431,35.0143,35.0139,2.4609,6.4356599999999995,91.126,0.3717,1.6216,0.6510724,1.6823,45.74100000000001,2.2353,26.6596,26.6593,11.6876,11.6874,-0.0004,-0.0002,-5.9e-05,6.090669999999999,1496.47,0.05
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,4.0,3.9619999999999997,11.6799,11.68,3.970742,3.970705,35.0143,35.0141,2.4606,6.43867,91.1662,0.37,1.6006,0.7259369999999999,1.4821,46.107,2.304,26.661,26.6606,11.6794,11.6795,-0.0002,0.0001,-3.7e-05,6.09171,1496.46,0.14
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,5.0,4.952,11.6816,11.6785,3.970915,3.9706089999999996,35.0139,35.0136,2.4611,6.43548,91.1253,0.3717,1.6218,0.6725768,1.2749,46.262,2.2809,26.6604,26.6609,11.6809,11.6779,-0.0002,-0.0031,-0.000306,6.0915099999999995,1496.48,0.174
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,6.0,5.943,11.6816,11.6797,3.971003,3.970785,35.0143,35.0141,2.4633,6.44245,90.9906,0.3777,1.61,0.8055775,1.145,46.018,2.2988,26.6608,26.6608,11.6808,11.679,-0.0002,-0.0018,-0.000218,6.09149,1496.5,0.191
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,7.0,6.933,11.674,11.67,3.9702330000000003,3.9698339999999996,35.0136,35.0141,2.4627,6.45049,91.1845,0.3691,1.6702,0.7475019,1.0219,45.891999999999996,2.1758,26.6615,26.6622,11.6732,11.6691,0.0006,-0.004,-0.000399,6.09249,1496.49,0.21899999999999997
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,8.0,7.922999999999999,11.5898,11.5884,3.9617480000000005,3.961578,35.0113,35.0168,2.4638,6.4604,91.0951,0.3731,1.6711,0.8248380999999999,0.92629,45.792,2.2271,26.6739,26.674,11.5888,11.5874,0.0055,-0.0015,-0.000169,6.10348,1496.2,0.237
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,9.0,8.914,11.4626,11.4481,3.9487160000000006,3.9476489999999997,35.0052,35.0231,2.4674,6.482480000000001,90.7008,0.3904,1.9624,0.8176591,0.8224,45.951,2.2285,26.6908,26.696,11.4615,11.447,0.0179,-0.0145,-0.001067,6.12026,1495.76,0.254
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,10.0,9.904,10.3557,10.3583,3.840218,3.840899,35.0021,35.0416,2.5093,6.660639999999999,90.1378,0.4153,2.8088,0.8236209000000001,0.7309100000000001,46.227,2.1975,26.8678,26.8707,10.3545,10.3571,0.0396,0.0026,0.000681,6.26751,1491.81,0.27399999999999997
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,11.0,10.895,9.7921,9.7883,3.787082,3.7871120000000005,35.0106,35.0349,2.5683,6.88708,87.8782,0.517,3.9847,0.8206005999999999,0.66527,46.213,2.1356,26.9655,26.9693,9.7908,9.7871,0.0243,-0.0038,2.9999999999999997e-05,6.3445599999999995,1489.78,0.29
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,12.0,11.885,9.4334,9.4327,3.7538730000000005,3.754024,35.0161,35.0287,2.5956,7.15314,87.7575,0.5224,3.7156,0.8345207,0.5968600000000001,45.846000000000004,2.0677,27.0303,27.0323,9.4321,9.4314,0.0126,-0.0007,0.000152,6.3941300000000005,1488.49,0.304
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,13.0,12.875,9.0511,9.0533,3.717256,3.7176620000000002,35.0073,35.0164,2.6156,7.32785,88.2654,0.4993,4.1679,0.8654209999999999,0.5332,46.273999999999994,2.1142,27.0871,27.0885,9.0497,9.0519,0.0091,0.0022,0.00040599999999999995,6.44834,1487.08,0.32
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,14.0,13.866,8.9338,8.9294,3.706128,3.705936,34.9996,35.0114,2.6283,7.40653,87.4943,0.5344,5.0922,0.8916476000000001,0.46993,46.178999999999995,2.0913,27.1046,27.1072,8.9323,8.9279,0.0118,-0.0044,-0.000192,6.46515,1486.66,0.33399999999999996
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,15.0,14.856,8.645,8.6443,3.6793489999999998,3.67964,35.0039,35.0211,2.6205,7.49777,86.7498,0.5686,5.183,0.9087168,0.41475,46.336000000000006,2.0325,27.1523,27.1553,8.6434,8.6428,0.0171,-0.0006,0.00029,6.5065800000000005,1485.59,0.34600000000000003
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,16.0,15.847000000000001,8.4176,8.4171,3.658898,3.658975,35.0079,35.0109,2.5987,7.5036,86.9004,0.5616,5.0878,0.9622405,0.3719,45.748999999999995,2.0415,27.1942,27.1954,8.416,8.4154,0.003,-0.0006,7.7e-05,6.53918,1484.76,0.361
68,20120704,559,61.5572,-33.593,2012-07-04T05:59:00Z,17.0,16.837,8.3609,8.3613,3.6537699999999997,3.6538809999999997,35.003,35.0066,2.5841,7.44412,87.0944,0.5527,5.006,0.9737684999999999,0.33696,46.04600000000001,2.1061,27.204,27.2045,8.3591,8.3596,0.0036,0.0004,0.00011100000000000001,6.54742,1484.57,0.374
