cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,2.0,1.9809999999999999,10.8392,10.8511,3.890475,3.8916120000000003,35.0166,35.0177,2.468,6.5915300000000006,91.0449,0.3752,0.8108,0.7962498,13.757,1668.6,0.0,26.8179,26.8158,10.8389,10.8508,0.0011,0.0119,0.001137,6.20111,1493.47,-0.092
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,3.0,2.971,10.9376,10.937,3.89946,3.8991599999999997,35.0123,35.01,2.4728,6.57848,90.6739,0.3916,0.9476,0.7064672,24.965999999999998,1664.2,0.0,26.7965,26.7948,10.9373,10.9366,-0.0024,-0.0007,-0.000299,6.18829,1493.83,0.12
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,4.0,3.9619999999999997,10.8407,10.8478,3.889896,3.8902919999999996,35.0111,35.0217,2.472,6.60433,90.7597,0.3878,0.9345,0.7211711999999999,14.823,1672.7,0.0,26.8111,26.8077,10.8402,10.8473,0.0106,0.007,0.000396,6.2012599999999996,1493.5,0.147
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,5.0,4.952,10.8857,10.8509,3.8946300000000003,3.8912379999999995,35.0133,35.0031,2.4767,6.589410000000001,90.7178,0.3897,1.0235,0.81219,15.024000000000001,1697.5,0.0,26.8061,26.8119,10.8851,10.8503,-0.0103,-0.0348,-0.003392,6.19516,1493.68,0.16
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,6.0,5.943,10.839,10.8312,3.89035,3.889015,35.0158,35.0139,2.475,6.6116399999999995,90.5516,0.397,1.0087,0.7501175,13.238,1690.2,0.0,26.8156,26.8124,10.8383,10.8304,-0.0019,-0.0079,-0.001335,6.2012599999999996,1493.53,0.177
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,7.0,6.933,10.7844,10.7736,3.884838,3.8837599999999997,35.0132,35.0132,2.4772,6.617939999999999,90.3508,0.4059,1.0916,0.7350810000000001,9.9945,1650.9,0.0,26.8227,26.8243,10.7836,10.7727,0.0001,-0.0108,-0.001078,6.20864,1493.35,0.193
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,8.0,7.9239999999999995,10.7903,10.7758,3.8853730000000004,3.8840480000000004,35.0116,35.0139,2.4749,6.62476,90.4961,0.3995,1.1024,0.7694876,9.2944,1647.0,0.0,26.8211,26.8241,10.7894,10.7749,0.0022,-0.0145,-0.001325,6.20789,1493.39,0.21
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,9.0,8.914,10.6295,10.577,3.869958,3.865222,35.0137,35.0252,2.4737,6.64301,90.4347,0.4022,1.1208,0.8265483,8.729,1691.3,0.0,26.8486,26.8599,10.6284,10.576,0.0115,-0.0525,-0.0047350000000000005,6.22941,1492.83,0.22899999999999998
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,10.0,9.904,10.5033,10.4686,3.858054,3.8545260000000003,35.0161,35.0169,2.481,6.65677,90.3404,0.4063,1.2473,0.8425171999999999,8.4102,1696.4,2.6476999999999995e-07,26.8716,26.8758,10.5021,10.4675,0.0009,-0.0346,-0.0035280000000000003,6.24622,1492.39,0.243
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,11.0,10.895,10.47,10.4571,3.854449,3.8532019999999996,35.0105,35.0176,2.481,6.68555,90.2283,0.4113,1.2762,0.8328336999999999,7.2534,1661.8,0.0,26.8736,26.8757,10.4687,10.4558,0.0071,-0.0129,-0.0012460000000000001,6.2509,1492.28,0.259
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,12.0,11.885,9.6679,9.3258,3.7760540000000002,3.7448339999999996,35.0033,35.0691,2.4639,6.81228,90.187,0.4131,1.3889,0.8862222,6.1476,1650.9,0.0,26.9893,27.0554,9.6665,9.3245,0.0658,-0.3421,-0.031219,6.3623400000000006,1489.34,0.27699999999999997
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,13.0,12.875,8.5403,8.5526,3.671303,3.672363,35.0387,35.0318,2.4861,6.9206199999999995,89.2635,0.4544,1.8438,1.0855229,5.8341,1693.2,0.0,27.1845,27.1816,8.539,8.5512,-0.0069,0.0122,0.00106,6.5207,1485.19,0.293
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,14.0,13.866,8.57,8.5785,3.673825,3.674732,35.0258,35.0274,2.5117,6.964910000000001,87.7721,0.5217,2.0049,1.1566891000000001,5.7107,1680.3,-4.429e-07,27.177,27.1765,8.5685,8.5771,0.0015,0.0086,0.000908,6.5166900000000005,1485.32,0.304
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,15.0,14.856,8.5571,8.5569,3.6728989999999997,3.672968,35.0224,35.0218,2.5258,7.0616699999999994,87.3003,0.5433,2.0161,1.1229373,4.9531,1658.5,0.0,27.1809,27.1817,8.5556,8.5553,-0.0006,-0.0003,6.9e-05,6.51845,1485.29,0.313
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,16.0,15.845999999999998,8.5563,8.5564,3.673259,3.6734,35.0161,35.0162,2.5394,7.1715,87.4523,0.5363,2.0285,1.0041216999999998,4.2688,1675.8,0.0,27.1843,27.1854,8.5546,8.5547,0.0001,0.0001,0.00014099999999999998,6.5184,1485.31,0.32799999999999996
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,17.0,16.837,8.5378,8.5368,3.671999,3.671957,35.0134,35.0143,2.5415,7.21708,87.3898,0.5392,2.0967,1.0569431,4.0446,1656.0,0.0,27.1907,27.1913,8.5361,8.535,0.0009,-0.001,-4.2e-05,6.5208900000000005,1485.26,0.342
55,20120701,2100,61.7633,-34.1107,2012-07-01T21:00:00Z,18.0,17.827,8.498,8.4969,3.668216,3.668246,35.0111,35.0175,2.5379,7.2258,87.2286,0.5466,2.1129,1.1018299999999999,3.5363,1644.7,0.0,27.196,27.1973,8.4962,8.495,0.0064,-0.0011,3.1e-05,6.52671,1485.12,0.35200000000000004
