cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,3.0,2.971,10.7608,10.7673,3.882218,3.882802,35.0125,35.0167,2.4792,6.625719999999999,90.4897,0.3997,1.4167,0.6877995,2.8342,117.0,0.0,26.8234,26.8219,10.7604,10.7669,0.0043,0.0065,0.000584,6.21255,1493.19,0.063
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,4.0,3.9619999999999997,9.8997,9.9146,3.799785,3.8012379999999997,35.0256,35.042,2.4835,6.72352,90.3514,0.4059,1.4559,0.6870701,2.4243,115.81,3.8358000000000005e-07,26.9693,26.9668,9.8992,9.9142,0.0164,0.015,0.0014529999999999999,6.3288,1490.1,0.121
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,5.0,4.952,9.6825,9.6807,3.779043,3.778822,35.019,35.0215,2.5279,6.8811,90.1986,0.4127,1.6015,0.7257858,2.1237,116.18,0.0,27.005,27.0049,9.6819,9.6801,0.0024,-0.0018,-0.000221,6.3585400000000005,1489.32,0.141
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,6.0,5.943,9.8751,10.0719,3.797554,3.817157,35.0139,34.9865,2.5317,6.89078,90.3549,0.4057,1.6236,0.7591751,2.0141,117.72,0.0,26.9742,26.948,9.8744,10.0712,-0.0274,0.1968,0.019603,6.33195,1490.04,0.151
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,7.0,6.933,9.7348,9.8572,3.7837199999999998,3.7960220000000002,35.0097,35.0392,2.5288,6.95631,90.0281,0.4202,1.5585,0.7781342,1.7685,117.6,0.0,26.9931,26.978,9.734,9.8564,0.0295,0.1224,0.012302,6.35154,1489.54,0.163
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,8.0,7.922999999999999,9.455,9.4266,3.75803,3.7551989999999997,35.0174,35.0172,2.5327,7.017589999999999,90.2108,0.4121,1.6467,0.6987691,1.4845,115.05,0.0,27.0456,27.0493,9.4541,9.4257,-0.0002,-0.0284,-0.0028309999999999997,6.39006,1488.54,0.182
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,9.0,8.914,9.1436,9.1446,3.72821,3.728285,35.0163,35.0319,2.5265,7.07603,90.0277,0.4202,1.6946,0.7324901,1.3663,114.78,0.0,27.0921,27.0919,9.1426,9.1436,0.0156,0.0009,7.5e-05,6.434159999999999,1487.39,0.19699999999999998
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,10.0,9.904,8.7865,8.7846,3.69438,3.6945,35.0185,35.035,2.5307,7.119839999999999,89.8092,0.43,1.7041,0.7669335,1.2586,116.3,6.2093e-07,27.1465,27.1493,8.7854,8.7835,0.0164,-0.0019,0.000121,6.48527,1486.07,0.207
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,11.0,10.894,8.5933,8.5703,3.676296,3.674317,35.017,35.028,2.5366,7.1604600000000005,89.5374,0.4421,1.8333,0.8311174000000001,1.1061,117.44,0.0,27.1767,27.1817,8.5921,8.5692,0.011,-0.0229,-0.001979,6.51315,1485.36,0.21899999999999997
59,20120702,2309,61.8532,-33.559,2012-07-02T23:09:00Z,12.0,11.885,8.4394,8.4388,3.662096,3.661978,35.0161,35.0167,2.5406,7.20967,89.1951,0.4574,1.9846,0.8684558000000001,0.98724,116.07,0.0,27.202,27.2015,8.4382,8.4376,0.0006,-0.0006,-0.000118,6.5354,1484.8,0.23199999999999998
