cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,3.0,2.971,10.8717,10.8686,3.892583,3.892213,35.0064,35.0056,2.459,6.549919999999999,90.7641,0.3876,1.9271,0.6963791,0.6756,21.965999999999998,2.2292,26.8038,26.8038,10.8713,10.8682,-0.0008,-0.0031,-0.00037,6.19723,1493.59,0.057999999999999996
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,4.0,3.9619999999999997,10.8775,10.8638,3.893125,3.891882,35.0058,35.0079,2.4592,6.5450800000000005,90.7716,0.3873,1.936,0.7498033000000001,0.57585,21.631,2.2751,26.8024,26.8054,10.877,10.8633,0.0021,-0.0137,-0.001243,6.19649,1493.63,0.14400000000000002
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,5.0,4.952,10.8251,10.8203,3.888258,3.887728,35.0078,35.0068,2.4615,6.56033,90.2029,0.4125,1.9328,0.7757794,0.48418,21.83,2.2272,26.8124,26.8128,10.8245,10.8197,-0.001,-0.0049,-0.00053,6.20338,1493.46,0.16399999999999998
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,6.0,5.943,10.7791,10.7725,3.8836449999999996,3.882982,35.0058,35.0078,2.4622,6.5735399999999995,90.6378,0.3932,1.9395,0.8117048000000001,0.40919,21.555,2.1869,26.8186,26.8196,10.7784,10.7717,0.0019,-0.0067,-0.000663,6.2096,1493.31,0.182
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,7.0,6.933,10.7027,10.7086,3.8765980000000004,3.877067,35.0089,35.0083,2.4621,6.587619999999999,90.2509,0.4103,2.0125,0.7904137,0.34085,21.805999999999997,2.2859,26.8338,26.832,10.7018,10.7078,-0.0006,0.0059,0.000469,6.21968,1493.05,0.201
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,8.0,7.9239999999999995,10.2718,10.0127,3.8328309999999997,3.8098910000000004,34.9885,35.1301,2.4212,6.6548300000000005,90.5163,0.3986,1.9585,0.7866593000000001,0.30701999999999996,21.822,2.2796,26.8825,26.9392,10.2709,10.0118,0.1416,-0.2591,-0.022940000000000002,6.2801599999999995,1491.46,0.221
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,9.0,8.914,7.4314,7.3914,3.566875,3.5635120000000002,35.0616,35.0788,2.4125,6.94612,89.9356,0.4244,2.6024,0.8541525,0.27479000000000003,21.803,2.2399,27.3396,27.3488,7.4305,7.3905,0.0172,-0.0401,-0.003363,6.686660000000001,1480.85,0.23399999999999999
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,10.0,9.904,7.0428,7.0438,3.530883,3.5312580000000002,35.0453,35.053,2.4615,7.030939999999999,87.4377,0.5371,3.5139,1.0418591999999998,0.25489,21.829,2.1228,27.3958,27.3981,7.0419,7.0429,0.0076,0.001,0.000375,6.745410000000001,1479.37,0.24600000000000002
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,11.0,10.894,6.8866,6.8835,3.5170410000000003,3.5170730000000003,35.039,35.0472,2.475,7.203760000000001,86.1533,0.5962,3.4528,0.9955805,0.23368000000000003,21.982,2.2439,27.422,27.4253,6.8856,6.8825,0.0082,-0.0031,3.2e-05,6.76935,1478.78,0.254
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,12.0,11.885,6.8089,6.8075,3.5104919999999997,3.510594,35.0352,35.0393,2.4776,7.2643,86.8355,0.5646,3.6383,0.9530588,0.21063,21.485,2.3194,27.4377,27.4399,6.8078,6.8064,0.004,-0.0014,0.000102,6.78115,1478.5,0.263
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,13.0,12.875,6.7353,6.7313,3.504279,3.504132,35.03,35.036,2.4736,7.29316,86.6861,0.5715,3.8149,0.9298875,0.18692,21.916,2.3567,27.4523,27.4548,6.7341,6.7301,0.006,-0.004,-0.000146,6.79237,1478.23,0.272
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,14.0,13.866,6.6406,6.6387,3.4960440000000004,3.495949,35.0294,35.0312,2.4649,7.297680000000001,86.8787,0.5626,3.8766,0.9365148999999999,0.17175,21.72,2.4466,27.469,27.4699,6.6394,6.6375,0.0017,-0.0019,-9.4e-05,6.806960000000001,1477.88,0.28
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,15.0,14.856,6.6196,6.6194,3.4944370000000005,3.4945489999999997,35.0264,35.0282,2.4564,7.27082,87.2622,0.545,3.9124,0.8894777,0.15546,21.93,2.4342,27.4743,27.4754,6.6183,6.6181,0.0018,-0.0002,0.00011200000000000001,6.8101199999999995,1477.81,0.28800000000000003
86,20120708,501,61.6673,-33.8667,2012-07-08T05:01:00Z,16.0,15.845999999999998,6.6037,6.6037,3.493296,3.4934010000000004,35.0232,35.0251,2.4477,7.2336800000000006,87.3143,0.5426,3.9529,0.874526,0.13712,22.089000000000002,2.4111,27.4789,27.4798,6.6023,6.6023,0.0019,-0.0,0.000106,6.812469999999999,1477.77,0.298
