initial_latitude_deg,initial_longitude_deg,sounding_m,min_depth_m,max_depth_m,pres,temp,trans,fluo,sal,dens,svan,n2,sigt,theta,sigthe,freez_t,o2,p_h,no3,par,s_par,x18,cdomv,transect
70.755,-137.8852,1514.0,3.06,297.15,3.0,-0.5660000000000001,88.3,0.03,25.258000000000006,20.27,748.0,,20.259,-0.5660000000000001,20.259,-1.37,8.648,,0.993,279.456,499.67,,0.076,500.0
70.755,-137.8852,1514.0,3.06,297.15,4.0,-0.522,88.29,0.03,25.371,20.37,739.0,0.0014199999999999998,20.35,-0.522,20.35,-1.38,8.669,,0.537,246.358,501.469,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,5.0,-0.334,88.29,0.03,25.628,20.58,720.0,0.00259,20.554,-0.334,20.554,-1.4,8.626,,0.12,209.704,503.825,,0.07400000000000001,500.0
70.755,-137.8852,1514.0,3.06,297.15,6.0,-0.271,88.38,0.03,26.045,20.92,687.0,0.00217,20.89,-0.271,20.89,-1.42,8.597999999999999,,0.209,185.06,506.539,,0.07400000000000001,500.0
70.755,-137.8852,1514.0,3.06,297.15,7.0,-0.285,88.5,0.03,26.189,21.04,676.0,0.000384,21.006,-0.285,21.006,-1.43,8.597000000000001,,-0.411,166.90900000000005,509.14,,0.07400000000000001,500.0
70.755,-137.8852,1514.0,3.06,297.15,8.0,-0.282,88.62,0.03,26.144,21.01,680.0,-1.53e-05,20.97,-0.282,20.97,-1.43,8.617,,-0.309,149.562,507.747,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,9.0,-0.287,88.65,0.03,26.185,21.05,677.0,8.92e-05,21.003,-0.287,21.003,-1.43,8.606,,0.304,133.97,507.05,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,10.0,-0.28300000000000003,88.66,0.03,26.167,21.04,678.0,-0.000237,20.988000000000003,-0.28300000000000003,20.988000000000003,-1.43,8.588,,0.0,120.991,507.05,,0.07400000000000001,500.0
70.755,-137.8852,1514.0,3.06,297.15,11.0,-0.28,88.67,0.03,26.124,21.01,681.0,0.00016,20.953000000000007,-0.28,20.953000000000007,-1.43,8.597000000000001,,0.045,110.245,505.91,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,12.0,-0.29600000000000004,88.67,0.03,26.208,21.08,675.0,0.000956,21.022,-0.29600000000000004,21.022,-1.43,8.603,,0.409,101.459,504.96,,0.07400000000000001,500.0
70.755,-137.8852,1514.0,3.06,297.15,13.0,-0.318,88.67,0.04,26.37,21.22,662.0,0.00199,21.153,-0.318,21.153,-1.44,8.644,,0.95,93.899,504.96,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,14.0,-0.365,88.67,0.04,26.719,21.5,635.0,0.00436,21.435,-0.365,21.435,-1.46,8.816,,0.068,87.223,504.96,,0.07400000000000001,500.0
70.755,-137.8852,1514.0,3.06,297.15,15.0,-0.455,88.57,0.03,27.492,22.13,575.0,0.00461,22.062,-0.455,22.062,-1.51,8.915,,0.983,81.391,504.925,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,16.0,-0.325,88.39,0.04,27.911,22.47,543.0,0.00279,22.397,-0.325,22.397,-1.53,8.946,,0.35,76.7,504.925,,0.076,500.0
70.755,-137.8852,1514.0,3.06,297.15,17.0,-0.254,88.47,0.04,28.221,22.73,519.0,0.00209,22.645,-0.254,22.645,-1.55,8.965,,0.68,72.855,504.96,,0.075,500.0
70.755,-137.8852,1514.0,3.06,297.15,18.0,-0.303,88.55,0.04,28.452,22.92,501.0,0.00144,22.833,-0.303,22.833,-1.56,9.038,,0.763,69.043,504.96,,0.076,500.0
70.755,-137.8852,1514.0,3.06,297.15,19.0,-0.308,88.42,0.03,28.592,23.04,490.0,0.000907,22.946,-0.308,22.946,-1.57,8.946,,0.688,65.288,504.96,,0.077,500.0
70.755,-137.8852,1514.0,3.06,297.15,20.0,-0.319,88.52,0.03,28.686,23.12,483.0,0.000695,23.022,-0.319,23.022,-1.58,8.961,,-0.215,61.931,504.96,,0.077,500.0
70.755,-137.8852,1514.0,3.06,297.15,21.0,-0.47,88.6,0.03,28.766,23.19,477.0,0.000723,23.091,-0.47,23.091,-1.58,8.924,,0.384,58.601000000000006,504.96,,0.077,500.0
70.755,-137.8852,1514.0,3.06,297.15,22.0,-0.542,88.79,0.03,28.865,23.28,469.0,0.000663,23.173,-0.542,23.173,-1.59,9.01,,1.861,55.547,505.456,,0.077,500.0
70.755,-137.8852,1514.0,3.06,297.15,23.0,-0.602,88.82,0.04,28.933000000000003,23.34,463.0,0.00055,23.229,-0.602,23.229,-1.6,9.059,,0.856,52.648,507.05,,0.077,500.0
70.755,-137.8852,1514.0,3.06,297.15,24.0,-0.638,88.89,0.04,29.004,23.4,458.0,0.0007099999999999999,23.288,-0.638,23.288,-1.6,9.114,,0.75,49.931,507.05,,0.077,500.0
70.755,-137.8852,1514.0,3.06,297.15,25.0,-0.6759999999999999,88.91,0.04,29.114,23.5,449.0,0.000628,23.378,-0.6759999999999999,23.378,-1.61,9.167,,0.78,47.363,507.085,,0.078,500.0
70.755,-137.8852,1514.0,3.06,297.15,26.0,-0.6459999999999999,88.92,0.04,29.166,23.54,445.0,0.000436,23.419,-0.647,23.419,-1.61,9.094,,1.037,45.065,508.254,,0.078,500.0
