Depth (m),PHP (mg C m-3 d-1)
59.18058,0.079475983
65.25038,0.051528384
71.32018,0.041048035
88.01214,0.038427948
98.63429,0.031441048
107.739,0.022707424
115.32625,0.014847162
136.57056,0.014847162
153.26252,0.012227074
177.54173,0.007860262
197.26859,0.00349345
233.68741,0.001746725
303.49014,0.001746725
359.63581,0.001746725
417.29894,0.000873362
499.24127,0.000873362
