Depth (m), Leucine incorporated (pmol L-1 h-1) ,ngC L-1 h-1,PHP (mg C m-3 d-1)
28,0.133,0.206150000000001,0.0049476
70,0.1009,0.156400045965083,0.003753601103162
128,0.063,0.09765,0.0023436
500,0.0728,0.112883586349507,0.002709206072388
