Depth (m), Leucine incorporated (pmol L-1 h-1) ,ngC L-1 h-1,PHP (mg C m-3 d-1)
28,0.1364,0.21143395,0.0050744148
70,0.0587,0.091019875,0.002184477
128,0.02,0.03105952,0.00074542848
500,0.0019,0.002964437,7.1146488E-05
