Depth (m),ngC L-1 h-1,PHP (mg C m-3 d-1)
40,0.380375136809528,0.009129003283429
200,0.306890643773268,0.007365375450558
400,0.085101227828444,0.002042429467883
1000,0.156505698521267,0.00375613676451
