Depth (m),ngC L-1 h-1,PHP (mg C m-3 d-1)
3.786,24.8729677926698,0.596951227024076
10.729,25.0222947099369,0.600535073038486
19.097,22.3238343202644,0.535772023686345
38.828,22.0135723064095,0.528325735353828
40,24.9706516602602,0.599295639846245
69.893,22.0052217819703,0.528125322767286
94.541,18.8844281231294,0.453226274955106
159.509,7.5909896728299,0.182183752147918
168.62,4.81059826904855,0.115454358457165
179.303,4.65781416618643,0.111787539988474
200,4.96204593270956,0.119089102385029
245.017,2.09497635858346,0.050279432606003
400,1.03387608077329,0.024813025938559
1000,0.850937555602199,0.020422501334453
