Datacycle,press,temp,cond,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin,potemp,sigma0,sigma2
1.0,3.0,15.2091,43.7651,89.4625,243.9691,1.1499,0.0042,90.1181,217.9302,49.0879,-16.3694,0.0,0.0001,2.7137,-0.0021,5.6438,35.5824,15.2087,26.3748,34.9753
2.0,5.0,15.2107,43.7676,80.3761,244.9984,1.1319,0.0042,90.1025,217.9303,49.0879,-16.3694,0.0,0.0001,2.7165,0.0008,5.6437,35.5823,15.21,26.3745,34.9749
3.0,7.0,15.2099,43.7681,89.7317,244.9649,1.066,0.0041,90.1682,217.9305,49.0878,-16.3694,0.0,0.0001,2.7171,0.0,5.6437,35.5825,15.2088,26.3749,34.9754
4.0,9.0,15.21,43.7688,94.6357,244.8907,1.1048,0.0041,90.2105,217.9305,49.0878,-16.3695,0.0,0.0001,2.7161,-0.0001,5.6437,35.5825,15.2087,26.3749,34.9754
5.0,11.0,15.2105,43.7699,88.8685,244.4553,1.184,0.0041,90.1903,217.9306,49.0878,-16.3695,0.0,0.0001,2.7127,-0.0006,5.6437,35.5824,15.2089,26.3748,34.9752
6.0,13.0,15.212,43.772,92.6688,244.474,1.1607,0.0041,90.2367,217.9307,49.0878,-16.3695,0.0,0.0001,2.711,0.0,5.6435,35.5818,15.21,26.3741,34.9746
7.0,15.0,15.2137,43.7747,98.71,244.5792,1.0257,0.0041,90.2381,217.9308,49.0878,-16.3695,0.0,0.0001,2.7112,-0.0001,5.6434,35.5818,15.2113,26.3738,34.9742
8.0,17.0,15.2141,43.7757,86.907,244.429,1.0827,0.0041,90.2061,217.9308,49.0878,-16.3695,0.0,0.0001,2.7104,-0.0003,5.6433,35.5818,15.2115,26.3738,34.9741
9.0,19.0,15.2142,43.7767,98.71,244.4295,1.3008,0.0041,90.2,217.9309,49.0878,-16.3695,0.0,0.0001,2.7095,0.0,5.6432,35.5817,15.2113,26.3737,34.9741
10.0,21.0,15.2153,43.7784,98.71,244.2044,1.2539,0.0041,90.2163,217.931,49.0878,-16.3695,0.0,0.0001,2.7072,-0.0004,5.6431,35.5817,15.2122,26.3735,34.9739
11.0,23.0,15.2164,43.7817,92.8792,244.4955,1.1737,0.0041,90.1958,217.9311,49.0878,-16.3695,0.0,0.0001,2.7088,0.0001,5.6431,35.5828,15.2129,26.3742,34.9746
12.0,25.0,15.2168,43.7842,96.9083,244.2703,1.0756,0.0041,90.1727,217.9311,49.0877,-16.3696,0.0,0.0001,2.7062,-0.0002,5.6432,35.5838,15.213,26.375,34.9753
13.0,27.0,15.216,43.7824,93.8582,244.3076,1.1091,0.0041,90.2503,217.9312,49.0877,-16.3696,0.0,0.0001,2.7062,-0.0002,5.6432,35.5819,15.2118,26.3737,34.9741
14.0,29.0,15.2161,43.783,96.4241,244.149,1.0516,0.0041,90.3336,217.9313,49.0877,-16.3696,0.0,0.0001,2.7044,-0.0002,5.6433,35.5818,15.2117,26.3737,34.9741
15.0,31.0,15.213,43.7813,92.79,244.2035,1.3624,0.0041,90.2446,217.9314,49.0877,-16.3696,0.0,0.0001,2.7035,0.0001,5.6433,35.582,15.2082,26.3746,34.9751
16.0,33.0,15.2135,43.7824,94.1473,243.9435,1.2267,0.0041,90.1783,217.9314,49.0877,-16.3696,0.0,0.0001,2.7028,-0.0008,5.6432,35.5821,15.2085,26.3746,34.9751
17.0,35.0,15.2145,43.7844,98.6326,244.1054,1.1278,0.0041,90.1578,217.9315,49.0877,-16.3697,0.0,0.0001,2.7019,0.0002,5.6433,35.5819,15.2092,26.3744,34.9748
18.0,37.0,15.2157,43.7865,98.7272,244.2026,1.095,0.0041,90.2492,217.9316,49.0877,-16.3697,0.0,0.0001,2.7026,-0.0003,5.6431,35.5819,15.21,26.3742,34.9746
19.0,39.0,15.2165,43.7883,90.1302,244.1454,1.1986,0.0041,90.2602,217.9317,49.0877,-16.3697,0.0,0.0001,2.7021,-0.0005,5.6432,35.5821,15.2106,26.3742,34.9746
20.0,41.0,15.2155,43.7898,98.699,243.9343,1.2583,0.0041,90.2649,217.9318,49.0877,-16.3697,0.0,0.0001,2.6977,0.0,5.6434,35.5834,15.2092,26.3755,34.9759
21.0,43.0,15.2033,43.784,96.3112,243.886,1.2297,0.0038,90.8851,217.9318,49.0876,-16.3697,0.0,0.0001,2.6972,-0.0004,5.6489,35.5885,15.1968,26.3822,34.983
22.0,45.0,14.9692,43.597,93.6045,239.1638,0.9367,0.003,92.5344,217.9319,49.0876,-16.3697,0.0,0.0001,2.6543,-0.0051,5.6781,35.6302,14.9623,26.4663,35.0749
23.0,47.0,14.5829,43.3004,90.3686,236.477,0.6363,0.0021,94.9646,217.932,49.0876,-16.3698,0.0,0.0001,2.626,-0.0043,5.6864,35.7112,14.5759,26.6134,35.2349
24.0,49.0,14.2417,43.0259,96.0228,231.3177,0.5264,0.0019,95.3938,217.9321,49.0876,-16.3698,0.0,0.0001,2.5776,-0.0134,5.7614,35.7714,14.2345,26.7335,35.3667
25.0,51.0,14.0429,42.8546,93.8723,231.8866,0.3163,0.0015,96.4066,217.9321,49.0876,-16.3698,0.0,0.0001,2.5607,0.0,5.7358,35.7959,14.0355,26.7949,35.435
26.0,53.0,13.85,42.6724,92.3742,230.3036,0.2663,0.0013,96.8623,217.9322,49.0876,-16.3698,0.0,0.0001,2.5443,-0.0017,5.7592,35.8039,13.8424,26.842,35.4891
27.0,55.0,13.7991,42.6274,88.6427,228.001,0.1839,0.001,97.6398,217.9323,49.0876,-16.3698,0.0,0.0001,2.514,-0.0017,5.7884,35.8082,13.7911,26.8561,35.5051
28.0,57.0,13.787,42.6189,93.4057,227.2957,0.1688,0.0007,98.3078,217.9324,49.0875,-16.3699,0.0,0.0001,2.507,-0.0032,5.8007,35.8109,13.7789,26.8607,35.5102
