cruise,station,Old R2,R2
D341,PAP,0.63,0.82
DY032,PAP,0.882036828440169,0.89
KN207-01,QL-1,0.699525432722207,0.7
KN207-01,QL-2,0.178657924198038,0.42
KN207-03,PS-1,0.58877734708434,0.8
KN207-03,PS-3&4,0.7833011422686,0.88
MALINA,430,0.306734083191792,0.62
MALINA,540,0.77751524637178,0.93
MALINA,620,0.912134430369735,0.98
PEACETIME,FAST,0.711515295920345,0.92
PEACETIME,ION,0.846095849700694,0.96
PEACETIME,TYR,0.83833084213608,0.95
TONGA,STATION 8,0.737306966339309,0.96
