"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",22.79,17.61,30.35,0.82,16,95
"DY032","PAP",45.27,40,51.3,0.89,82,453
"KN207-01","QL-1",11.64,9.34,14.88,0.7,39,23
"KN207-01","QL-2",13.5,10.97,18.28,0.42,24,95
"KN207-03","PS-1",14.6,12.72,16.97,0.8,28,35
"KN207-03","PS-3&4",13.71,11.67,16.53,0.88,42,22
"MALINA","430",4.55,3.19,7.49,0.62,6,60
"MALINA","540",3.75,2.91,5.35,0.93,6,56
"MALINA","620",39.51,26.5,62.44,0.98,6,50
"PEACETIME","FAST",39.99,32.87,48.55,0.92,54,36
"PEACETIME","ION",26.13,23.33,29.41,0.96,31,70
"PEACETIME","TYR",27.31,22.81,32.73,0.95,25,56
"TONGA","STATION 8",65.2,55.41,77.6,0.96,14,62
