cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,2.0,1.984,16.4505,16.446,4.515469,4.514914,35.7103,35.7093,2.3533,5.46926,97.574,0.0982,0.2678,0.3847339,115.3,1947.8,nd,26.1897,26.1901,16.4502,16.4457,-0.0009,-0.0045,-0.0005549999999999999,5.508859999999999,1512.8,-0.039
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,3.0,2.9760000000000004,16.4517,16.4525,4.515631,4.51564,35.7103,35.7097,2.3547,5.48269,97.5758,0.0982,0.2498,0.3849174,99.86200000000001,1952.4,nd,26.1895,26.1887,16.4512,16.4521,-0.0007,0.0009,9e-06,5.50874,1512.82,0.306
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,4.0,3.968,16.4478,16.4481,4.515292,4.515213,35.7105,35.7096,2.3534,5.46977,97.5737,0.0982,0.2256,0.3844008,82.818,1962.5,nd,26.1904,26.1897,16.4472,16.4474,-0.0008,0.0003,-7.8e-05,5.50915,1512.82,0.303
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,5.0,4.96,16.4456,16.4447,4.51509,4.514905000000001,35.7102,35.7093,2.3527,5.47474,97.5243,0.1003,0.2534,0.3809837,68.075,1952.6,nd,26.1908,26.1904,16.4448,16.4439,-0.0009,-0.0009,-0.00018600000000000002,5.50938,1512.83,0.335
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,6.0,5.952000000000001,16.4457,16.4477,4.51515,4.515261,35.7103,35.7098,2.3548,5.466130000000001,97.5716,0.0983,0.2718,0.38677979999999995,58.49,1933.9,nd,26.1909,26.1898,16.4447,16.4468,-0.0005,0.002,0.00011100000000000001,5.50938,1512.85,0.373
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,7.0,6.944,16.4409,16.4408,4.514688,4.514582,35.7102,35.7092,2.3546,5.48252,97.5502,0.0992,0.2657,0.38189829999999997,52.772,1933.1,nd,26.1919,26.1913,16.4398,16.4397,-0.001,-0.0001,-0.000106,5.5099,1512.85,0.39299999999999996
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,8.0,7.936,16.4305,16.432,4.513566,4.513626,35.7093,35.7093,2.3527,5.4894300000000005,97.5508,0.0992,0.3046,0.3809188,47.398999999999994,1945.1,nd,26.1936,26.1926,16.4292,16.4307,-0.0001,0.0014,5.9999999999999995e-05,5.51104,1512.84,0.413
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,9.0,8.927999999999999,16.403,16.4091,4.510562,4.511131,35.7075,35.7078,2.3484,5.4724900000000005,97.5101,0.1009,0.3472,0.3819807,39.539,1944.1,nd,26.1982,26.1964,16.4015,16.4077,0.0003,0.0062,0.0005679999999999999,5.51406,1512.77,0.439
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,10.0,9.92,16.1538,16.1698,4.483641,4.485269000000001,35.6968,35.7057,2.3469,5.48497,97.4033,0.1052,0.3593,0.3853219,38.154,1959.2,nd,26.2437,26.2401,16.1522,16.1682,0.0089,0.016,0.001628,5.54135,1512.0,0.46799999999999997
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,11.0,10.912,16.0784,16.0774,4.475943,4.47574,35.6955,35.6952,2.3499,5.49865,97.57,0.0984,0.3343,0.3774409,34.504,1949.3,nd,26.2602,26.2598,16.0767,16.0756,-0.0002,-0.0011,-0.00020299999999999997,5.54951,1511.79,0.493
9,20120618,904,42.9902,-27.249,2012-06-18T09:04:00Z,12.0,11.904000000000002,16.0607,16.0598,4.474143,4.4739379999999995,35.6943,35.6943,2.3493,5.51928,97.6396,0.0955,0.3816,0.3765176,31.373,1946.6,nd,26.264,26.2634,16.0588,16.0579,0.0,-0.0008,-0.000205,5.55145,1511.75,0.514
