Datacycle,press,temp,cond,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin,potemp,sigma0,sigma2
1.0,1.0,15.641,44.1769,31.2088,240.0652,0.7619,0.0122,76.9253,218.2101,48.9039,-16.0907,0.0,0.0001,2.686,0.0005,5.5999,35.5647,15.6408,26.2642,34.8496
2.0,3.0,15.642,44.2292,39.9146,240.2512,0.7622,0.0046,89.4053,218.2101,48.9038,-16.0907,0.0,0.0001,2.6903,0.0004,5.5949,35.6102,15.6415,26.299,34.8838
3.0,5.0,15.6417,44.227,65.8692,240.4421,0.7716,0.0031,92.4305,218.2102,48.9038,-16.0908,0.0,0.0001,2.6908,0.0004,5.5946,35.6076,15.6409,26.2972,34.8821
4.0,7.0,15.6422,44.2309,98.71,240.1235,0.7599,0.0028,93.1282,218.2102,48.9038,-16.0908,0.0,0.0001,2.6899,-0.0009,5.5944,35.6099,15.6411,26.2989,34.8837
5.0,9.0,15.6426,44.2327,83.9461,240.5533,0.7638,0.0029,93.0811,218.2103,48.9038,-16.0908,0.0,0.0001,2.6917,0.0004,5.5944,35.6104,15.6412,26.2993,34.8841
6.0,11.0,15.6411,44.2319,98.2207,239.7495,0.8406,0.0029,93.115,218.2104,48.9038,-16.0908,0.0,0.0001,2.6873,-0.0018,5.5946,35.6102,15.6394,26.2995,34.8844
7.0,13.0,15.6398,44.2313,93.476,240.0284,0.7695,0.0028,93.1268,218.2104,48.9037,-16.0909,0.0,0.0001,2.6865,-0.0001,5.5945,35.6101,15.6377,26.2998,34.8847
8.0,15.0,15.6409,44.233,93.3031,239.8688,0.7564,0.0028,93.1895,218.2105,48.9037,-16.0909,0.0,0.0001,2.6848,-0.0004,5.5944,35.6098,15.6386,26.2994,34.8843
9.0,17.0,15.643,44.2358,96.5082,239.9679,0.7603,0.0028,93.1952,218.2106,48.9037,-16.0909,0.0,0.0001,2.6848,-0.0004,5.5943,35.6097,15.6404,26.2989,34.8837
10.0,19.0,15.6439,44.2375,77.2926,239.7849,0.7517,0.0028,93.1874,218.2106,48.9037,-16.0909,0.0,0.0001,2.6824,0.0,5.5942,35.6095,15.6409,26.2986,34.8834
11.0,21.0,15.6444,44.2388,98.71,239.2744,0.7632,0.0028,93.1498,218.2106,48.9037,-16.091,0.0,0.0001,2.6796,-0.0013,5.5942,35.6094,15.6411,26.2985,34.8834
12.0,23.0,15.6446,44.2397,88.7722,239.5309,0.7891,0.0028,93.1761,218.2107,48.9037,-16.091,0.0,0.0001,2.6792,-0.0002,5.5942,35.6093,15.641,26.2984,34.8833
13.0,25.0,15.6449,44.241,83.524,239.6613,0.7946,0.0028,93.141,218.2107,48.9036,-16.091,0.0,0.0001,2.6792,0.0,5.5942,35.6093,15.6409,26.2985,34.8833
14.0,27.0,15.645,44.2418,73.611,239.2244,0.7854,0.0028,93.1601,218.2108,48.9036,-16.091,0.0,0.0001,2.6783,-0.0011,5.5941,35.6094,15.6409,26.2985,34.8834
15.0,29.0,15.6454,44.2434,98.71,240.112,0.7955,0.0028,93.1745,218.2108,48.9036,-16.091,0.0,0.0001,2.68,0.0015,5.5941,35.6095,15.641,26.2986,34.8834
16.0,31.0,15.6455,44.2444,88.5368,239.7175,0.8079,0.0028,93.1874,218.2108,48.9036,-16.091,0.0,0.0001,2.6799,-0.0005,5.594,35.6094,15.6407,26.2986,34.8835
17.0,33.0,15.646,44.246,98.7087,239.717,0.8096,0.0028,93.1664,218.2109,48.9036,-16.091,0.0,0.0001,2.6764,0.0001,5.5939,35.6095,15.6409,26.2986,34.8834
18.0,35.0,15.647,44.2484,77.3089,239.2715,0.8205,0.0028,93.083,218.2109,48.9036,-16.091,0.0,0.0001,2.6751,-0.001,5.5938,35.6099,15.6415,26.2988,34.8836
19.0,37.0,15.6513,44.2595,96.4823,239.3568,0.8438,0.0028,93.1246,218.2109,48.9036,-16.091,0.0,0.0001,2.6747,0.0,5.5908,35.6153,15.6455,26.3021,34.8867
20.0,39.0,15.6676,44.3061,67.3859,238.979,0.8854,0.0032,92.2792,218.211,48.9036,-16.0911,0.0,0.0001,2.672,-0.0009,5.5912,35.6417,15.6615,26.3188,34.9025
21.0,41.0,15.6609,44.3057,86.359,238.097,0.9206,0.0031,92.4999,218.211,48.9036,-16.0911,0.0,0.0001,2.6668,-0.0026,5.5914,35.6467,15.6545,26.3242,34.9081
22.0,43.0,15.6584,44.3057,96.94,238.5023,0.893,0.003,92.7073,218.211,48.9036,-16.0911,0.0,0.0001,2.6657,-0.0004,5.5916,35.6481,15.6517,26.3259,34.9099
23.0,45.0,15.6577,44.3031,89.273,238.1904,0.8773,0.003,92.7358,218.2111,48.9036,-16.0911,0.0,0.0001,2.6638,-0.0012,5.5916,35.6457,15.6508,26.3243,34.9083
24.0,47.0,15.6559,44.3068,80.7124,237.167,0.8783,0.003,92.8306,218.2111,48.9035,-16.0911,0.0,0.0001,2.6572,-0.003,5.5918,35.6498,15.6487,26.3279,34.912
25.0,49.0,15.6543,44.3069,72.1517,237.9039,0.8627,0.0029,92.8619,218.2111,48.9035,-16.0911,0.0,0.0001,2.6581,0.0,5.5915,35.6505,15.6466,26.3289,34.913
26.0,51.0,15.6547,44.3078,83.9503,238.1265,0.8592,0.0029,92.9231,218.2112,48.9035,-16.0911,0.0,0.0001,2.6594,0.0001,5.5922,35.6502,15.6469,26.3286,34.9127
27.0,53.0,15.6514,44.307,51.1123,236.8916,0.8465,0.0028,93.2344,218.2112,48.9035,-16.0911,0.0,0.0001,2.6532,-0.0028,5.5932,35.6515,15.6432,26.3305,34.9147
28.0,55.0,15.6326,44.29,98.6567,237.7515,0.7962,0.0025,93.9075,218.2112,48.9035,-16.0911,0.0,0.0001,2.654,0.0003,5.5927,35.6523,15.6239,26.3355,34.9204
29.0,57.0,15.6211,44.2784,98.737,238.4783,0.7307,0.0025,94.0414,218.2112,48.9035,-16.0912,0.0,0.0001,2.6573,0.001,5.5971,35.6515,15.6122,26.3374,34.9228
30.0,59.0,15.6031,44.2587,98.71,237.1303,0.6776,0.0024,94.0658,218.2113,48.9035,-16.0912,0.0,0.0001,2.6403,-0.0078,5.6708,35.6495,15.5939,26.34,34.926
31.0,61.0,15.0866,43.7206,98.6056,232.4484,0.541,0.0017,95.7588,218.2113,48.9035,-16.0912,0.0,0.0001,2.6076,-0.0135,5.6774,35.6294,15.0773,26.4401,35.0447
32.0,63.0,14.5269,43.1615,98.6578,238.9613,0.3958,0.0013,96.6904,218.2113,48.9035,-16.0912,0.0,0.0001,2.6164,0.0056,5.7077,35.6277,14.5176,26.5616,35.1863
33.0,65.0,14.255,42.9243,98.71,235.0195,0.2969,0.0011,97.2138,218.2114,48.9035,-16.0912,0.0,0.0001,2.5818,-0.0127,5.8436,35.658,14.2455,26.6435,35.2778
34.0,67.0,13.2773,41.9125,58.5973,238.0412,0.2082,0.0007,98.2458,218.2114,48.9034,-16.0912,0.0,0.0001,2.5668,0.0003,5.8839,35.6159,13.2679,26.8157,35.4869
35.0,69.0,13.1369,41.7738,94.5235,239.1253,0.178,0.0006,98.4066,218.2115,48.9034,-16.0912,0.0,0.0001,2.5676,-0.0004,5.918,35.6146,13.1274,26.8434,35.52
36.0,71.0,12.8988,41.5408,96.4872,238.8625,0.1666,0.0006,98.5136,218.2115,48.9034,-16.0912,0.0,0.0001,2.5618,-0.0019,5.9388,35.6151,12.889,26.892,35.5777
