Datacycle,press,temp,cond,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin,potemp,sigma0,sigma2
1.0,5.0,15.3521,43.9489,8.9013,241.6393,0.9536,0.0033,91.9743,216.0765,48.7305,-16.9089,0.0,0.0001,2.6926,-0.0004,5.6266,35.6186,15.3513,26.3709,34.9658
2.0,7.0,15.3528,43.9505,90.2919,241.9704,0.9511,0.0034,91.9748,216.0766,48.7305,-16.9089,0.0,0.0001,2.6944,0.0004,5.6265,35.6186,15.3517,26.3708,34.9657
3.0,9.0,15.3522,43.9506,89.537,241.7333,0.9493,0.0033,92.0608,216.0767,48.7305,-16.9089,0.0,0.0001,2.6937,-0.0004,5.6265,35.6184,15.3508,26.3709,34.9658
4.0,11.0,15.352,43.9512,84.8494,241.8512,0.9523,0.0033,92.0747,216.0767,48.7305,-16.9089,0.0,0.0001,2.6932,0.0003,5.6265,35.6185,15.3503,26.371,34.966
5.0,13.0,15.3527,43.953,88.9385,241.6604,0.946,0.0033,92.1045,216.0769,48.7304,-16.9089,0.0,0.0001,2.6916,-0.0001,5.6264,35.6184,15.3506,26.3709,34.9659
6.0,15.0,15.3532,43.9541,98.71,241.9375,0.9563,0.0033,92.0708,216.0769,48.7304,-16.9089,0.0,0.0001,2.6917,0.0006,5.6264,35.6184,15.3509,26.3708,34.9658
7.0,17.0,15.3528,43.9547,90.1345,241.3868,0.9762,0.0033,92.0952,216.077,48.7304,-16.9089,0.0,0.0001,2.6888,-0.0007,5.6264,35.6184,15.3502,26.371,34.966
8.0,19.0,15.3536,43.9565,91.5709,241.0423,0.9583,0.0033,92.1069,216.0771,48.7304,-16.9089,0.0,0.0001,2.6848,-0.0003,5.6263,35.6183,15.3506,26.3709,34.9658
9.0,21.0,15.3545,43.9584,80.9728,241.2641,0.9675,0.0033,92.1024,216.0772,48.7304,-16.9089,0.0,0.0001,2.6856,-0.0001,5.6263,35.6183,15.3512,26.3707,34.9657
10.0,23.0,15.3545,43.9589,93.0423,241.3103,0.9822,0.0033,92.0885,216.0772,48.7304,-16.9089,0.0,0.0001,2.6866,0.0,5.6263,35.6184,15.351,26.3708,34.9657
11.0,25.0,15.3546,43.9603,90.5672,241.3697,0.9763,0.0033,92.112,216.0773,48.7303,-16.9089,0.0,0.0001,2.6852,0.0002,5.6262,35.6184,15.3507,26.3709,34.9658
12.0,27.0,15.3553,43.9618,87.0872,241.2273,1.0022,0.0033,92.1104,216.0774,48.7303,-16.9089,0.0,0.0001,2.6839,-0.0001,5.6261,35.6184,15.3511,26.3708,34.9657
13.0,29.0,15.3561,43.9637,92.2081,241.2026,1.0465,0.0033,92.1415,216.0775,48.7303,-16.9089,0.0,0.0001,2.6832,-0.0002,5.6261,35.6184,15.3516,26.3707,34.9656
14.0,31.0,15.3554,43.9639,98.71,240.9069,1.031,0.0033,92.1439,216.0775,48.7303,-16.9089,0.0,0.0001,2.6808,-0.0006,5.6262,35.6185,15.3506,26.371,34.966
15.0,33.0,15.3557,43.9649,91.3515,241.2997,1.0237,0.0033,92.1516,216.0776,48.7303,-16.9089,0.0,0.0001,2.6821,0.0,5.6261,35.6185,15.3507,26.371,34.9659
16.0,35.0,15.3566,43.9668,98.71,241.3471,1.027,0.0033,92.1384,216.0777,48.7303,-16.9089,0.0,0.0001,2.6823,0.0001,5.6261,35.6185,15.3512,26.3708,34.9658
17.0,37.0,15.3566,43.9677,88.3576,241.0929,1.0307,0.0033,92.1463,216.0778,48.7303,-16.9089,0.0,0.0001,2.68,-0.0002,5.6262,35.6185,15.3509,26.3709,34.9659
18.0,39.0,15.3548,43.9676,89.9441,241.0095,1.0372,0.0032,92.2344,216.0778,48.7302,-16.9089,0.0,0.0001,2.6784,-0.0001,5.6265,35.6191,15.3488,26.3718,34.9669
19.0,41.0,15.3517,43.9661,98.71,241.0392,0.9835,0.0031,92.4171,216.0779,48.7302,-16.9089,0.0,0.0001,2.6774,0.0,5.6268,35.62,15.3454,26.3733,34.9684
20.0,43.0,15.3478,43.9644,91.2776,240.7343,0.9666,0.0031,92.4812,216.078,48.7302,-16.9089,0.0,0.0001,2.6749,-0.0004,5.6269,35.6209,15.3412,26.3749,34.9702
21.0,45.0,15.348,43.9653,98.71,240.8663,0.9659,0.0031,92.5928,216.0781,48.7302,-16.9089,0.0,0.0001,2.6743,0.0001,5.6271,35.6209,15.3411,26.3749,34.9702
22.0,47.0,15.3418,43.9613,88.5476,240.5356,0.9234,0.003,92.7637,216.0781,48.7302,-16.909,0.0,0.0001,2.6718,-0.0005,5.629,35.6222,15.3346,26.3774,34.9729
23.0,49.0,15.2505,43.8761,78.1118,240.2425,0.7444,0.0025,93.8273,216.0782,48.7302,-16.909,0.0,0.0001,2.6596,-0.0032,5.6777,35.6268,15.2429,26.4014,35.0001
24.0,51.0,14.2745,42.9607,98.7088,232.4702,0.2709,0.0011,97.2337,216.0783,48.7301,-16.909,0.0,0.0001,2.5832,-0.0125,5.7659,35.6792,14.267,26.6545,35.2878
25.0,53.0,13.7203,42.3991,82.1475,228.4059,0.186,0.0008,98.0184,216.0784,48.7301,-16.909,0.0,0.0001,2.5162,-0.01,5.8599,35.6675,13.7128,26.7623,35.4163
26.0,55.0,13.3362,42.0345,80.6524,230.8905,0.1607,0.0007,98.2221,216.0784,48.7301,-16.909,0.0,0.0001,2.5132,0.0003,5.866,35.6818,13.3286,26.8543,35.5223
27.0,57.0,13.157,41.8571,98.7006,230.6267,0.1544,0.0006,98.402,216.0785,48.7301,-16.909,0.0,0.0001,2.5057,-0.0016,5.8976,35.6805,13.1491,26.89,35.5649
28.0,59.0,12.9379,41.6423,98.7072,231.6172,0.1446,0.0006,98.5519,216.0786,48.7301,-16.909,0.0,0.0001,2.5072,0.0003,5.906,35.6808,12.9298,26.9347,35.618
29.0,61.0,12.925,41.6404,87.9669,231.4043,0.1208,0.0005,98.7852,216.0787,48.73,-16.909,0.0,0.0001,2.5049,-0.0004,5.9114,35.6902,12.9166,26.9447,35.6283
30.0,63.0,12.8367,41.5601,98.6651,231.0202,0.0852,0.0004,99.0593,216.0788,48.73,-16.909,0.0,0.0001,2.4997,-0.0006,5.9181,35.6957,12.8281,26.9668,35.6537
31.0,65.0,12.8058,41.5287,90.548,231.2202,0.0802,0.0003,99.1647,216.0789,48.73,-16.909,0.0,0.0001,2.4987,0.0002,5.9196,35.6938,12.7969,26.9716,35.6597
32.0,67.0,12.8092,41.532,98.695,230.6528,0.071,0.0003,99.2352,216.0789,48.73,-16.909,0.0,0.0001,2.4959,-0.0012,5.9217,35.6931,12.8001,26.9703,35.6584
33.0,69.0,12.8057,41.5307,87.2184,230.7449,0.0636,0.0003,99.3009,216.079,48.73,-16.909,0.0,0.0001,2.494,-0.0004,5.9236,35.6943,12.7962,26.972,35.6602
34.0,71.0,12.8081,41.5362,98.7058,229.9764,0.0545,0.0002,99.3925,216.0791,48.73,-16.909,0.0,0.0001,2.4893,-0.0015,5.9232,35.6966,12.7984,26.9734,35.6614
35.0,73.0,12.8024,41.5368,94.1935,230.2776,0.0427,0.0002,99.4492,216.0791,48.73,-16.909,0.0,0.0001,2.4885,-0.0003,5.9241,35.7015,12.7925,26.9784,35.6666
36.0,75.0,12.803,41.5381,88.6561,230.2161,0.0411,0.0002,99.4425,216.0792,48.7299,-16.909,0.0,0.0001,2.4874,-0.0003,5.925,35.7016,12.7928,26.9784,35.6666
37.0,77.0,12.7774,41.5105,95.0848,229.6459,0.0413,0.0002,99.4706,216.0793,48.7299,-16.909,0.0,0.0001,2.4826,-0.0011,5.9276,35.6981,12.7668,26.9809,35.6701
38.0,79.0,12.7672,41.4998,92.1652,230.2665,0.0418,0.0002,99.495,216.0793,48.7299,-16.909,0.0,0.0001,2.4845,0.0005,5.9276,35.6965,12.7564,26.9818,35.6715
39.0,81.0,12.7664,41.4991,93.654,229.7807,0.0415,0.0002,99.5416,216.0794,48.7299,-16.909,0.0,0.0001,2.4816,-0.0011,5.9314,35.6958,12.7553,26.9814,35.6712
40.0,83.0,12.74,41.4698,92.3732,230.3867,0.0363,0.0002,99.5602,216.0794,48.7299,-16.909,0.0,0.0001,2.4833,0.0008,5.9297,35.6918,12.7287,26.9837,35.6745
41.0,85.0,12.7434,41.4738,98.71,230.574,0.0348,0.0002,99.5651,216.0795,48.7299,-16.909,0.0,0.0001,2.4837,0.0003,5.9348,35.6913,12.7318,26.9827,35.6733
42.0,87.0,12.7279,41.4586,98.7006,230.3555,0.035,0.0002,99.577,216.0795,48.7299,-16.909,0.0,0.0001,2.4815,-0.0001,5.9377,35.6905,12.716,26.9852,35.6765
43.0,89.0,12.6997,41.4245,90.1402,230.3734,0.0334,0.0002,99.5774,216.0796,48.7299,-16.909,0.0,0.0001,2.4808,-0.0001,5.939,35.6837,12.6876,26.9856,35.6781
