Datacycle,press,temp,cond,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin,potemp,sigma0,sigma2
1.0,3.0,15.2245,43.8011,85.8805,246.5837,1.0582,0.0034,91.9459,203.0879,49.2657,-16.9085,0.0,0.0001,2.7338,0.0001,5.6415,35.6008,15.2239,26.3857,34.9853
2.0,5.0,15.225,43.802,93.9534,246.5492,1.0633,0.0033,91.9901,203.0881,49.2657,-16.9085,0.0,0.0001,2.7335,-0.0001,5.6414,35.6008,15.2243,26.3856,34.9853
3.0,7.0,15.2274,43.8076,89.3753,246.7905,1.0804,0.0033,92.0169,203.0884,49.2656,-16.9084,0.0,0.0001,2.7343,0.0002,5.6413,35.6029,15.2263,26.3867,34.9863
4.0,9.0,15.2285,43.8117,95.8995,246.6679,1.0694,0.0033,92.0323,203.0886,49.2655,-16.9084,0.0,0.0001,2.7337,-0.0003,5.6409,35.6047,15.2271,26.3879,34.9874
5.0,11.0,15.2289,43.8129,89.3916,246.9508,1.0805,0.0033,92.0528,203.0887,49.2655,-16.9083,0.0,0.0001,2.7347,0.0005,5.6409,35.6045,15.2272,26.3878,34.9873
6.0,13.0,15.228,43.8136,89.549,247.0402,1.0907,0.0033,92.044,203.0888,49.2655,-16.9083,0.0,0.0001,2.7353,0.0,5.6409,35.6053,15.226,26.3886,34.9882
7.0,15.0,15.2281,43.8147,98.71,246.9285,1.1092,0.0033,92.0516,203.0889,49.2655,-16.9083,0.0,0.0001,2.7341,-0.0001,5.641,35.6053,15.2257,26.3887,34.9883
8.0,17.0,15.2279,43.8152,75.6427,246.7258,1.126,0.0033,92.0624,203.089,49.2654,-16.9083,0.0,0.0001,2.7321,-0.0005,5.6412,35.6052,15.2253,26.3887,34.9883
9.0,19.0,15.2247,43.8131,97.3353,246.8203,1.1378,0.0033,91.9774,203.0891,49.2654,-16.9082,0.0,0.0001,2.7311,-0.0001,5.6415,35.6053,15.2218,26.3896,34.9893
10.0,21.0,15.2226,43.812,91.3743,246.9193,1.1325,0.0033,92.0588,203.0892,49.2654,-16.9082,0.0,0.0001,2.7312,0.0001,5.6415,35.6053,15.2193,26.3902,34.9899
11.0,23.0,15.2227,43.8128,85.9843,246.9372,1.1448,0.0033,92.0514,203.0892,49.2654,-16.9082,0.0,0.0001,2.7319,-0.0002,5.6414,35.6053,15.2193,26.3902,34.9899
12.0,25.0,15.2255,43.8167,80.7612,246.7309,1.165,0.0033,92.0283,203.0893,49.2653,-16.9082,0.0,0.0001,2.7291,-0.0003,5.6415,35.6053,15.2217,26.3896,34.9893
13.0,27.0,15.0991,43.6865,83.8496,246.4815,1.1557,0.0033,92.1824,203.0894,49.2653,-16.9082,0.0,0.0001,2.7226,-0.0009,5.6568,35.6009,15.0949,26.4144,35.0186
14.0,29.0,15.0267,43.6099,91.9208,246.4608,1.1362,0.003,92.6674,203.0895,49.2653,-16.9081,0.0,0.0001,2.7178,-0.0009,5.6701,35.5963,15.0223,26.4269,35.0338
15.0,31.0,14.9536,43.5312,78.1823,246.1455,1.1101,0.003,92.8229,203.0895,49.2653,-16.9081,0.0,0.0001,2.7128,-0.0008,5.6738,35.59,14.9489,26.4383,35.0479
16.0,33.0,14.9313,43.5115,85.6484,245.6681,1.0504,0.0028,93.3078,203.0896,49.2653,-16.9081,0.0,0.0001,2.7084,-0.0013,5.6778,35.5917,14.9263,26.4446,35.055
17.0,35.0,14.9033,43.4855,98.7093,245.0189,1.0069,0.0026,93.6945,203.0896,49.2652,-16.9081,0.0,0.0001,2.7012,-0.0015,5.6812,35.5926,14.898,26.4515,35.063
18.0,37.0,14.8327,43.4196,88.0719,244.2312,0.8785,0.0023,94.4434,203.0897,49.2652,-16.908,0.0,0.0001,2.6928,-0.001,5.6833,35.5958,14.8271,26.4696,35.0835
19.0,39.0,14.8291,43.4179,63.9575,243.3156,0.8153,0.0022,94.691,203.0898,49.2652,-16.908,0.0,0.0001,2.6839,-0.0026,5.6925,35.5968,14.8233,26.4711,35.0852
20.0,41.0,14.7531,43.347,87.3441,241.7858,0.7404,0.002,95.1575,203.0898,49.2652,-16.908,0.0,0.0001,2.6682,-0.0028,5.6985,35.6004,14.7469,26.4906,35.1074
