initial_latitude_deg,initial_longitude_deg,sounding_m,min_depth_m,max_depth_m,pres,temp,trans,fluo,sal,dens,svan,n2,sigt,theta,sigthe,freez_t,o2,p_h,no3,par,s_par,x18,cdomv,transect
71.1838,-136.7481,1300.0,3.12,297.24,3.0,-0.78,88.73,0.02,25.964,20.85,693.0,,20.833,-0.78,20.833,-1.41,8.682,,2.336,358.426,640.641,,0.07400000000000001,400.0
71.1838,-136.7481,1300.0,3.12,297.24,4.0,-0.789,88.73,0.02,25.961,20.85,693.0,-1.8100000000000006e-05,20.831,-0.789,20.831,-1.41,8.686,,2.7960000000000003,317.178,640.59,,0.07400000000000001,400.0
71.1838,-136.7481,1300.0,3.12,297.24,5.0,-0.8,88.73,0.02,25.959,20.85,693.0,-1.64e-05,20.829,-0.8,20.829,-1.42,8.681000000000001,,2.651,265.592,639.5930000000002,,0.073,400.0
71.1838,-136.7481,1300.0,3.12,297.24,6.0,-0.775,88.74,0.02,25.957,20.86,693.0,8.44e-05,20.827,-0.775,20.827,-1.42,8.693999999999999,,2.814,229.683,638.51,,0.073,400.0
71.1838,-136.7481,1300.0,3.12,297.24,7.0,-0.784,88.73,0.02,25.981,20.88,692.0,0.0008300000000000001,20.847,-0.784,20.847,-1.42,8.752,,2.339,203.421,638.413,,0.07400000000000001,400.0
71.1838,-136.7481,1300.0,3.12,297.24,8.0,-0.8320000000000001,88.74,0.03,26.17,21.04,677.0,0.00165,21.0,-0.8320000000000001,21.0,-1.43,8.801,,2.583,183.748,636.42,,0.073,400.0
71.1838,-136.7481,1300.0,3.12,297.24,9.0,-0.8190000000000001,88.75,0.02,26.406,21.23,659.0,0.00204,21.191,-0.8190000000000001,21.191,-1.44,8.845,,3.4960000000000004,167.273,634.764,,0.07400000000000001,400.0
71.1838,-136.7481,1300.0,3.12,297.24,10.0,-0.785,88.79,0.03,26.698,21.47,636.0,0.00246,21.426,-0.785,21.426,-1.46,8.915,,2.813,153.634,632.735,,0.07400000000000001,400.0
71.1838,-136.7481,1300.0,3.12,297.24,11.0,-0.778,88.83,0.03,27.041,21.76,609.0,0.00264,21.704,-0.778,21.704,-1.48,8.955,,3.475,141.702,629.563,,0.07400000000000001,400.0
71.1838,-136.7481,1300.0,3.12,297.24,12.0,-0.71,88.85,0.03,27.381,22.04,583.0,0.00215,21.977,-0.71,21.977,-1.5,8.987,,2.496,130.756,626.965,,0.075,400.0
71.1838,-136.7481,1300.0,3.12,297.24,13.0,-0.701,88.89,0.03,27.597,22.21,566.0,0.0015,22.152,-0.701,22.152,-1.51,8.994,,3.189,121.286,624.743,,0.075,400.0
71.1838,-136.7481,1300.0,3.12,297.24,14.0,-0.682,88.95,0.03,27.769,22.36,553.0,0.0013800000000000002,22.29,-0.682,22.29,-1.52,9.029,,2.5660000000000003,112.968,622.4019999999998,,0.075,400.0
71.1838,-136.7481,1300.0,3.12,297.24,15.0,-0.682,88.99,0.03,27.955,22.51,539.0,0.0014,22.441,-0.682,22.441,-1.53,9.067,,2.912,105.698,620.8530000000002,,0.075,400.0
71.1838,-136.7481,1300.0,3.12,297.24,16.0,-0.624,89.01,0.02,28.133000000000006,22.66,525.0,0.00146,22.583,-0.624,22.583,-1.55,9.093,,3.712,99.113,618.389,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,17.0,-0.621,89.02,0.02,28.335,22.83,510.0,0.00132,22.746,-0.621,22.746,-1.56,9.106,,3.037,92.939,616.138,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,18.0,-0.6609999999999999,89.01,0.03,28.472,22.95,499.0,0.0008300000000000001,22.858,-0.6609999999999999,22.858,-1.57,9.126,,2.5780000000000003,86.95200000000001,614.3480000000002,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,19.0,-0.6659999999999999,89.01,0.03,28.548,23.01,493.0,0.0005650000000000001,22.92,-0.6659999999999999,22.92,-1.57,9.127,,3.16,81.633,613.395,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,20.0,-0.629,88.82,0.03,28.619,23.07,488.0,0.000516,22.976,-0.629,22.976,-1.58,9.129,,3.0460000000000003,76.657,611.38,,0.075,400.0
71.1838,-136.7481,1300.0,3.12,297.24,21.0,-0.6759999999999999,89.02,0.03,28.681,23.13,483.0,0.000466,23.027,-0.6759999999999999,23.027,-1.58,9.164,,2.444,71.972,610.6419999999998,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,22.0,-0.7070000000000001,89.02,0.03,28.737,23.18,478.0,0.00048,23.073,-0.7070000000000001,23.073,-1.58,9.198,,3.9,67.845,609.29,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,23.0,-0.711,88.98,0.03,28.804,23.24,473.0,0.0004440000000000001,23.128,-0.711,23.128,-1.59,9.194,,3.45,64.28399999999999,609.29,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,24.0,-0.7,89.03,0.03,28.852,23.28,469.0,0.000402,23.166,-0.7,23.166,-1.59,9.179,,3.304,61.043,608.558,,0.076,400.0
71.1838,-136.7481,1300.0,3.12,297.24,25.0,-0.7020000000000001,89.03,0.04,28.908,23.33,465.0,0.0006190000000000001,23.212,-0.7020000000000001,23.212,-1.6,9.171,,4.372,58.06399999999999,607.21,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,26.0,-0.763,89.04,0.03,29.01,23.42,457.0,0.000952,23.296,-0.763,23.296,-1.6,9.195,,3.409,55.207,607.21,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,27.0,-0.797,89.04,0.04,29.151,23.54,446.0,0.00112,23.41,-0.797,23.41,-1.61,9.248,,3.1010000000000004,52.37300000000001,607.21,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,28.0,-0.833,89.04,0.04,29.297,23.66,435.0,0.000904,23.529,-0.8340000000000001,23.529,-1.62,9.269,,3.842,49.485,606.618,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,29.0,-0.845,89.05,0.03,29.383000000000006,23.74,428.0,0.00099,23.599,-0.846,23.599,-1.62,9.272,,3.2230000000000003,46.845,605.12,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,30.0,-0.855,89.03,0.04,29.552,23.88,415.0,0.00136,23.736,-0.856,23.736,-1.64,9.257,,3.569,44.423,605.12,,0.077,400.0
71.1838,-136.7481,1300.0,3.12,297.24,31.0,-0.866,89.04,0.03,29.734,24.03,401.0,0.0013,23.884,-0.867,23.884,-1.65,9.242,,2.949,42.272,605.0830000000002,,0.078,400.0
71.1838,-136.7481,1300.0,3.12,297.24,32.0,-0.8909999999999999,89.04,0.03,29.887,24.16,389.0,0.000966,24.008000000000006,-0.892,24.008000000000006,-1.66,9.237,,2.863,40.258,603.6,,0.078,400.0
71.1838,-136.7481,1300.0,3.12,297.24,33.0,-0.913,89.02,0.03,29.982,24.25,382.0,0.000704,24.086,-0.914,24.086,-1.66,9.24,,3.339,38.283,603.03,,0.078,400.0
71.1838,-136.7481,1300.0,3.12,297.24,34.0,-0.951,89.03,0.04,30.067,24.32,375.0,0.0005639999999999999,24.155,-0.952,24.155,-1.67,9.261,,3.159,36.406,603.03,,0.078,400.0
71.1838,-136.7481,1300.0,3.12,297.24,35.0,-0.97,88.99,0.04,30.126,24.37,370.0,0.00057,24.204,-0.971,24.204,-1.67,9.226,,3.065,34.693000000000005,603.304,,0.078,400.0
71.1838,-136.7481,1300.0,3.12,297.24,36.0,-1.02,89.02,0.04,30.212,24.45,364.0,0.000712,24.275,-1.021,24.275,-1.68,9.224,,3.3080000000000003,33.063,603.099,,0.079,400.0
71.1838,-136.7481,1300.0,3.12,297.24,37.0,-1.094,89.02,0.04,30.306,24.53,356.0,0.000607,24.352,-1.095,24.352,-1.68,9.233,,3.488,31.48,603.03,,0.079,400.0
71.1838,-136.7481,1300.0,3.12,297.24,38.0,-1.0759999999999998,89.03,0.04,30.367,24.59,351.0,0.000521,24.401,-1.077,24.401,-1.69,9.22,,3.256,29.903,603.03,,0.079,400.0
71.1838,-136.7481,1300.0,3.12,297.24,39.0,-1.0759999999999998,89.02,0.04,30.441,24.65,346.0,0.0005,24.461,-1.077,24.461,-1.69,9.208,,2.8,28.354,603.03,,0.08,400.0
71.1838,-136.7481,1300.0,3.12,297.24,40.0,-1.0759999999999998,89.03,0.04,30.496,24.7,341.0,0.000379,24.506,-1.077,24.506,-1.7,9.195,,2.6830000000000003,26.912,601.321,,0.08,400.0
71.1838,-136.7481,1300.0,3.12,297.24,41.0,-1.072,89.04,0.05,30.539,24.74,338.0,0.000387,24.541,-1.073,24.541,-1.7,9.157,,3.1,25.625,600.95,,0.081,400.0
71.1838,-136.7481,1300.0,3.12,297.24,42.0,-1.077,89.03,0.05,30.596,24.79,334.0,0.000388,24.587,-1.078,24.587,-1.7,9.129,,2.873,24.413,600.95,,0.08199999999999999,400.0
